PLAYER NAME,Country,College
A.J. McInerney,USA,"University of Nevada-Las Vegas 2016, Finance"
Aaron Baddeley,AUS,
Aaron Wise,USA,University of Oregon 
Abraham Ancer,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Adam Hadwin,CAN,"University of Louisville  (2009, Business Administration) "
Adam Long,USA,"Duke University (2010, Sociology)"
Adam Schenk,USA,"Purdue University  (2014, Management) "
Adam Scott,AUS,University of Nevada-Las Vegas 
Adam Svensson,CAN,Barry University 
Alex Cejka,GER,
Alex Kang,USA,"San Diego State University  (Sociology, 2012) "
Alex Noren,SWE,"Oklahoma State University  (2005, Business Marketing) "
Alex Prugh,USA,"University of Washington  (2007, Economics) "
Anders Albertson,USA,"Georgia Tech  (2015, Business Administration) "
Andres Gonzales,USA,"University of Nevada-Las Vegas  (2006, Journalism) "
Andres Romero,ARG,
Andrew Johnston,ENG,
Andrew Landry,USA,"University of Arkansas  (2009, Communications) "
Andrew Loupe,USA,"Louisiana State University  (2011, Sports Administration) "
Andrew Putnam,USA,"Pepperdine University  (2011, Business Administration) "
Andrew Svoboda,USA,"St. Johns University  (2003, Marketing) "
Andrew Yun,USA,"Stanford University 2013, Sociology"
Angelo Que,PHI,
Anirban Lahiri,IND,
Arjun Atwal,IND,Nassau Community College 
Austen Truslow,USA,
Austin Cook,USA,"University of Arkansas  (2013, Biology) "
Beau Hossler,USA,
Ben Crane,USA,"University of Oregon  (1999, Sociology) "
Ben Curtis,USA,"Kent State University  (2000, Recreation Management) "
Ben Martin,USA,"Clemson University  (2009, Financial Management) "
Ben Silverman,CAN,"Johnson & Wales University; Florida Atlantic University  (2010, Psychology) "
Bernd Wiesberger,AUT,
Bernhard Langer,GER,
Bill Haas,USA,Wake Forest University  (2004 Religious Studies) 
Bill Lunde,USA,"University of Nevada-Las Vegas  (1998, Economics) "
Billy Horschel,USA,"University of Florida  (2009, Sports Management) "
Billy Hurley III,USA,"United States Naval Academy  (2004, Quantitative Economics) "
Billy Mayfair,USA,Arizona State University 
Blake Adams,USA,"Georgia Southern University  (2001, Sociology) "
Blayne Barber,USA,"Auburn University 2012, Finance"
Bo Van Pelt,USA,"Oklahoma State University  (1998, General Business) "
Bob Estes,USA,University of Texas 
Bobby Wyatt,USA,
Boo Weekley,USA,Abraham Baldwin Agricultural College 
Brad Fritsch,CAN,"Campbell University  (2000, Criminal Justice Administration) "
Braden Thornberry,USA,University of Mississippi 
Brady Schnell,USA,"University of Nebraska  (2008, Political Science) "
Branden Grace,RSA,
Brandon Hagy,USA,"University of California-Berkeley  (2014, Business Administration, Haas School of Business) "
Brandon Harkins,USA,"California State University-Chico  (2010, Psychology) "
Brandt Jobe,USA,"UCLA  (1988, History) "
Brandt Snedeker,USA,"Vanderbilt University  (2004, Communications) "
